source,target,tgt_lng
Proprietary & Confidential,専有および機密,
kilometre,キロメートル,
Accommodation,宿泊施設,
Grades,等級,
Prodapt,Prodapt,
guesthouse,ゲストハウス,
Prodaptians,Prodapt社員,
dependents,扶養家族,
extension,延長,
charges,費用,
extra days,追加日数,
perquisite tax,役得税,
Income Tax Act,所得税法,
accommodation rent,宿泊費,
day one of stay,滞在初日,
salary,給与,
Movement of goods,物品の移動,
courier charges,宅配便料金,
Maximum Limits,上限,
Finance,財務,
current month,当月,
following month,翌月,
payment dates,支払日,
holiday,休日,
payment,支払い,
working day,営業日,
Reimbursement and Allowances policy,経費精算および手当規定,
Reimbursement,経費精算,
Allowances,手当,
Domestic Relocation Policy,国内転居規定,
New Prodaptians,新規Prodapt社員,
India,インド,
Annexure 2,別紙2,
SLA,SLA,
Responsibilities,責任,
Activity,活動,
Owner,担当者,
Completion time,完了期限,
Remarks,備考,
Prodaptian,Prodapt社員,
relocation reimbursement request,転居費用精算申請,
reimbursement process,精算プロセス,
ERP,ERP,
Employee Self-Service,従業員セルフサービス,
Submit Expense,経費申請,
Actual bills,実費請求書,
salary account,給与口座,
Domestic Relocation Policy for New Prodaptians: India,新Prodapt社員向け国内転居規定：インド,
Annexure 1,別紙1,
Relocation Reimbursement Declaration Form,転居費用精算申告書,
Accounts Department,経理部,
Prodapt Solutions Private Limited,Prodapt Solutions Private Limited,
"Thiru Vi Ka Industrial Estate, Chennai 600032",Thiru Vi Ka工業団地、チェンナイ 600032,
RELOCATION EXPENSES,転居費用,
employee ID,従業員ID,
project cost code,プロジェクト費用コード,
base location,配属拠点,
household goods,家財道具,
materials,物品,
current residence location,現居住地,
date of relocation,転居日,
INR,INR,
P5+,P5+,
Clawback clause,クローバック条項,
applicability,適用,
NA,該当なし,
relocation,転居,
Ver.,バージョン,
Doc ID,文書ID,
Item,項目,
Grade,等級,
Entitlement,資格,
Travel,移動,
Distance,距離,
Train,列車,
2AC,2AC,
bus,バス,
Air travel,航空機移動,
Prodaptian’s current residence location,Prodapt社員の現居住地,
Prodapt base location,Prodapt拠点,
Air,航空機,
Self-driven car,自家用車,
2022,2022年,
Creation date,作成日,
Created by,作成者,
Reviewed by,レビュー担当者,
Approved by,承認者,
01 September,9月1日,
Arunkumar Anandan,Arunkumar Anandan,
Associate Director – HR,人事アソシエイトディレクター,
Lakshmipathi Itha,Lakshmipathi Itha,
Assistant Vice president – HR,人事アシスタントバイスプレジデント,
Sandip Mishra,Sandip Mishra,
CHRO,最高人事責任者,
Ramanathan J,Ramanathan J,
CFO,最高財務責任者,
Version History,バージョン履歴,
Version,バージョン,
Rationale for change,変更理由,
Revision description,改訂内容,
Initial release,初版,
annual Revision,年次改訂,
01 June 2025,2025年6月1日,
Table of Contents,目次,
Purpose,目的,
Scope,適用範囲,
Effective Date,発効日,
Definitions,定義,
Guiding Principles,基本原則,
Entitlements and Process,権利と手続き,
Amendment,改訂,
Interpretation,解釈,
Annexure,付属書,
Process,手順,
One-time reimbursement,一時払い払い戻し,
cost incurred,発生費用,
transfer of goods,物品輸送,
actual relocation,実際の転勤,
reimbursement application,払い戻し申請,
Reimbursement Employee Self-Service,払い戻し従業員セルフサービス,
declaration,申告書,
Finance team,経理チーム,
clauses of this policy,本規定の条項,
exigencies of business,業務上の必要性,
Human Resources department,人事部,
final authority,最終決定権,
policy document,規定文書,
benefits,給付,
easy transition,円滑な移行,
established office,既存オフィス,
cost of transferring goods,引越し費用,
cost of setting up,生活準備費用,
interim living expenses,一時生活費,
initial accommodation,初期滞在先,
one-time relocation reimbursement,一時転居費用精算,
Entitlements,資格,
"INR 10,000","10,000インドルピー",
company-provided accommodation,会社提供宿泊施設,
14 days,14日間,
family members,家族,
spouse,配偶者,
children,子供,
parents,両親,
in-laws,義理の家族,
Relocation Policy,転居規定,
financial and administrative relocation assistance,金銭的および事務的な転居支援,
newly-hired Prodaptians,新規採用Prodaptian,
laterals,中途採用者,
freshers,新卒採用者,
"01 September, 2022",2022年9月1日,
Residence Location,居住地,
Reporting Manager,レポーティングマネージャー,
IT business division,IT事業部門,
immediate supervisor,直属の上司,
TOPS business division,TOPS事業部門,
manager,マネージャー,
Senior Manager,シニアマネージャー,
AGM,AGM,
recovery of funds,資金回収,
pre-defined period,所定期間,
date of joining,入社日,
