source,target,tgt_lng
Creche Facility,Kindertagesstätte,
Policy,Richtlinie,
Prodapt,Prodapt,
Proprietary & Confidential,Eigentum und vertraulich,
Creation,Erstellung,
Creation date,Erstellungsdatum,
Created by,Erstellt von,
Reviewed by,Geprüft von,
Approved by,Genehmigt von,
"01 Oct, 2024",01. Okt. 2024,
Senthil Vel,Senthil Vel,
Murugan R,Murugan R,
Sr. Manager HR,Senior Manager HR,
Saipriya S,Saipriya S,
Director HR,Direktor HR,
Amrita Choudhury,Amrita Choudhury,
Senior Director-HR,Senior Direktor HR,
Version History,Versionsverlauf,
Version,Version,
Rationale for change,Begründung der Änderung,
Revision description,Revisionsbeschreibung,
Date,Datum,
Initial release,Erstveröffentlichung,
"01 April, 2025",01. April 2025,
2022,2022,
Creche Facility Policy,Kinderkrippenrichtlinie,
Table of Contents,Inhaltsverzeichnis,
Purpose,Zweck,
Scope,Geltungsbereich,
Objectives,Ziele,
Eligibility,Teilnahmeberechtigung,
Creche Operating Hours,Öffnungszeiten der Kinderkrippe,
Enrolment Process,Anmeldeprozess,
Fees and Payment,Gebühren und Zahlung,
Health And Safety,Gesundheit und Sicherheit,
Meals and Nutrition,Mahlzeiten und Ernährung,
Drop-Off and Pick-Up Policy,Richtlinie für Abholung und Bringen,
Termination of Services,Beendigung der Dienstleistungen,
Parental Responsibilities,Elterliche Pflichten,
Empanelled Creche Vendor,Vertraglich gebundener Kinderkrippenanbieter,
Amendment of Policy,Änderung der Richtlinie,
Liability disclaimer,Haftungsausschluss,
Grievances and Redressal,Beschwerden und Abhilfe,
Confidentiality and Data Protection,Vertraulichkeit und Datenschutz,
Chennai,Chennai,
OMR,OMR,
Little Elly,Little Elly,
Little Elly-Preschool,Little Elly-Vorschule,
Brigade World Trade Centre,Brigade World Trade Centre,
Tirumalai Nagar,Tirumalai Nagar,
Perungudi,Perungudi,
Tamil Nadu,Tamil Nadu,
Contact Person,Ansprechpartner,
Ms Kavitha,Frau Kavitha,
Contact Number,Kontaktnummer,
Mail ID,E-Mail-Adresse,
Distance from office,Entfernung zum Büro,
registration fee,Anmeldegebühr,
Bengaluru,Bengaluru,
Toon Demy,Toon Demy,
Vaishnavi Tech Park,Vaishnavi Tech Park,
Ambalipura,Ambalipura,
Sarjapur Road,Sarjapur Road,
Bellandur,Bellandur,
Amrita Roy,Amrita Roy,
Hyderabad,Hyderabad,
IRA Grow & Shine,IRA Grow & Shine,
MSR Arcade,MSR Arcade,
Patrika Nagar,Patrika Nagar,
Hitech City Hyderabad,Hitech City Hyderabad,
Allekkhya Gade,Allekkhya Gade,
Workafella,Workafella,
Smartworks Raheja,Smartworks Raheja,
6 months,6 Monate,
2 years,2 Jahre,
One time Registration fee,Einmalige Anmeldegebühr,
6 Years,6 Jahre,
Pune,Pune,
Eurokids,Eurokids,
Baner,Baner,
Nisarg Vihar Row House,Nisarg Vihar Reihenhaus,
Mitcon,Mitcon,
Balewadi,Balewadi,
Maharashtra,Maharashtra,
Mr. Sachin Karale,Herr Sachin Karale,
Mrs. Meenal Ranade,Frau Meenal Ranade,
Notice of amendments,Mitteilung über Änderungen,
Prodaptians,Prodapt-Mitarbeiter,
Voice portal,Sprachportal,
Parents,Eltern,
creche staff,Betreuungspersonal,
allergies,Allergien,
medical conditions,medizinische Bedingungen,
special needs,besondere Bedürfnisse,
child,Kind,
emergencies,Notfälle,
company,Unternehmen,
medical attention,ärztliche Versorgung,
enrolment,Anmeldung,
due diligence,Sorgfaltspflicht,
services,Dienstleistungen,
health,Gesundheit,
environment,Umgebung,
hygiene aspects,Hygieneaspekte,
Meals,Mahlzeiten,
Nutrition,Ernährung,
snacks,Zwischenmahlzeiten,
break time,Pausenzeit,
stipulated hours,festgelegte Zeiten,
schedule,Zeitplan,
cab facility,Fahrdienst,
Helpdesk ticket,Helpdesk-Ticket,
journey,Fahrt,
Late pick-ups,verspätete Abholung,
additional cost,zusätzliche Kosten,
leave,Abwesenheit,
absence,Abwesenheit,
written notice,schriftliche Mitteilung,
Non-Compliance,Nichteinhaltung,
rules,Regeln,
Persistent disruptive behaviour,anhaltendes störendes Verhalten,
risk,Risiko,
Irregular usage,unregelmäßige Nutzung,
specified hours,festgelegte Zeiten,
work location,Arbeitsort,
company ID card copy,Kopie des Firmenausweises,
discounted rate,vergünstigter Tarif,
safety,Sicherheit,
hygiene,Hygiene,
Enrolment form,Anmeldeformular,
Creche vendor,Krippenanbieter,
required documents,erforderliche Unterlagen,
birth certificate,Geburtsurkunde,
medical records,medizinische Unterlagen,
cancellation,Kündigung,
Creche service,Krippendienst,
Fees,Gebühren,
Payment,Zahlung,
Monthly fee,Monatsgebühr,
additional expenses,zusätzliche Ausgaben,
damages,Schäden,
disenrollment,Abmeldung,
benefit,Leistung,
costing,Kosten,
